field_1,ShipDetections,Detected_width,Detected_length,Date,Year,Month,Day,Time,Latitude,Longitude,DaysOld
0,target_000,90.0,100.0,20221012,2022,10,12,102528,-10.292861850804252,120.47859314058591,3.0
31,target_031,70.0,70.0,20221012,2022,10,12,102528,-9.917052931800054,120.75094378474574,3.0
32,target_032,30.0,20.0,20221012,2022,10,12,102528,-9.91677244361288,120.7503207084724,3.0
33,target_033,20.0,30.0,20221012,2022,10,12,102528,-9.832374464476723,120.63999595178372,3.0
34,target_034,100.0,110.0,20221012,2022,10,12,102528,-9.786305796508902,120.80886563827792,3.0
35,target_035,60.0,90.0,20221012,2022,10,12,102528,-9.77890308991809,120.6195194162892,3.0
36,target_036,90.0,240.0,20221012,2022,10,12,102528,-9.75689178337802,120.60447208304429,3.0
37,target_037,90.0,170.0,20221012,2022,10,12,102528,-9.751318523792714,120.60353455450834,3.0
38,target_038,50.0,30.0,20221012,2022,10,12,102528,-9.679640777841769,120.50217091535484,3.0
39,target_039,110.0,180.0,20221012,2022,10,12,102528,-9.678464507490528,120.5013468869644,3.0
40,target_040,60.0,200.0,20221012,2022,10,12,102528,-9.650661086761726,120.49205542640732,3.0
41,target_041,50.0,50.0,20221012,2022,10,12,102528,-9.65642376561198,120.31199419656808,3.0
42,target_042,60.0,30.0,20221012,2022,10,12,102528,-9.643898516127356,120.36112397914326,3.0
30,target_030,130.0,120.0,20221012,2022,10,12,102528,-9.932472478062394,120.7631064842844,3.0
43,target_043,40.0,100.0,20221012,2022,10,12,102528,-9.63367930286093,120.24884304524574,3.0
45,target_045,70.0,60.0,20221012,2022,10,12,102528,-9.611786224619534,120.23876717824004,3.0
46,target_046,120.0,90.0,20221012,2022,10,12,102528,-9.640881801471949,120.26494843777787,3.0
47,target_047,100.0,140.0,20221012,2022,10,12,102528,-9.62610957895762,120.25315421233094,3.0
48,target_048,30.0,90.0,20221012,2022,10,12,102528,-9.59394343195714,120.23301585529808,3.0
49,target_049,20.0,40.0,20221012,2022,10,12,102528,-9.544914655019989,120.22907298100009,3.0
50,target_050,50.0,40.0,20221012,2022,10,12,102528,-9.4875676430791,120.20896081181112,3.0
51,target_051,80.0,110.0,20221012,2022,10,12,102528,-9.32958111047638,120.80507943247174,3.0
52,target_052,90.0,110.0,20221012,2022,10,12,102528,-9.31580748565495,120.79170183793612,3.0
53,target_053,60.0,80.0,20221012,2022,10,12,102528,-9.316452700444463,120.78704102145332,3.0
54,target_054,50.0,20.0,20221012,2022,10,12,102528,-9.309590025599308,120.79317289886517,3.0
55,target_055,70.0,120.0,20221012,2022,10,12,102528,-9.380261509897412,120.00820642307784,3.0
56,target_056,60.0,50.0,20221012,2022,10,12,102528,-9.379344085250567,120.007479618324,3.0
44,target_044,40.0,90.0,20221012,2022,10,12,102528,-9.613071710637216,120.23911489986834,3.0
57,target_057,40.0,60.0,20221012,2022,10,12,102528,-9.21918019350643,120.54575310416416,3.0
29,target_029,170.0,250.0,20221012,2022,10,12,102528,-9.98720140938028,120.83892697582831,3.0
27,target_027,50.0,60.0,20221012,2022,10,12,102528,-10.011470133167665,120.85353237670796,3.0
1,target_001,30.0,80.0,20221012,2022,10,12,102528,-10.285119720984982,120.48115735521326,3.0
2,target_002,40.0,80.0,20221012,2022,10,12,102528,-10.283871952941,120.48085003711648,3.0
3,target_003,180.0,90.0,20221012,2022,10,12,102528,-10.261156467726668,120.51614259030713,3.0
4,target_004,190.0,90.0,20221012,2022,10,12,102528,-10.261146324296382,120.51618692142196,3.0
5,target_005,60.0,40.0,20221012,2022,10,12,102528,-10.257518199418776,120.59351065781352,3.0
6,target_006,80.0,50.0,20221012,2022,10,12,102528,-10.261357795614552,120.6246112800009,3.0
7,target_007,20.0,30.0,20221012,2022,10,12,102528,-10.261720942551074,120.62302689989208,3.0
8,target_008,30.0,20.0,20221012,2022,10,12,102528,-10.262538573549854,120.60939643100204,3.0
9,target_009,100.0,100.0,20221012,2022,10,12,102528,-10.256424729528698,120.62908842564488,3.0
10,target_010,70.0,40.0,20221012,2022,10,12,102528,-10.262274628798297,120.60315448863878,3.0
11,target_011,30.0,40.0,20221012,2022,10,12,102528,-10.232392293055868,120.6645303765702,3.0
12,target_012,170.0,120.0,20221012,2022,10,12,102528,-10.231142823093888,120.65355187230548,3.0
28,target_028,90.0,80.0,20221012,2022,10,12,102528,-9.992549859629904,120.82567983120371,3.0
13,target_013,80.0,80.0,20221012,2022,10,12,102528,-10.20288427362056,120.72912480564392,3.0
15,target_015,20.0,30.0,20221012,2022,10,12,102528,-10.144346027372489,120.78054384872048,3.0
16,target_016,50.0,30.0,20221012,2022,10,12,102528,-10.14416480331026,120.78092272111382,3.0
17,target_017,60.0,50.0,20221012,2022,10,12,102528,-10.131419280949794,120.81425724319618,3.0
18,target_018,40.0,40.0,20221012,2022,10,12,102528,-10.0662337171203,120.8666993214775,3.0
19,target_019,50.0,70.0,20221012,2022,10,12,102528,-10.065171633564564,120.86743020833288,3.0
20,target_020,60.0,50.0,20221012,2022,10,12,102528,-10.057978938132104,120.8536761354989,3.0
21,target_021,90.0,80.0,20221012,2022,10,12,102528,-10.041117898756536,120.86172344349418,3.0
22,target_022,120.0,140.0,20221012,2022,10,12,102528,-10.039786952536389,120.861371637387,3.0
23,target_023,50.0,110.0,20221012,2022,10,12,102528,-10.033119287155031,120.8590544006336,3.0
24,target_024,80.0,120.0,20221012,2022,10,12,102528,-10.01613533178947,120.8557580371216,3.0
25,target_025,80.0,120.0,20221012,2022,10,12,102528,-10.01613533178947,120.8557580371216,3.0
26,target_026,120.0,150.0,20221012,2022,10,12,102528,-10.01695127746215,120.84790423329778,3.0
14,target_014,70.0,80.0,20221012,2022,10,12,102528,-10.1795882388516,120.7477786935918,3.0
58,target_058,90.0,30.0,20221012,2022,10,12,102528,-9.388211162291755,119.22087761578912,3.0
